result_position,bridge_signature,rule_id,edge_count
521,Al-O-Si,T-O-T,96
522,Al-O-Si,T-O-T,96
523,Al-O-Si,T-O-T,96
524,Al-O-Si,T-O-T,96
525,Al-O-Si,T-O-T,96
526,Al-O-Si,T-O-T,96
527,Al-O-Si,T-O-T,96
528,Al-O-Si,T-O-T,96
529,Al-O-Si,T-O-T,96
530,Al-O-Si,T-O-T,96
531,Al-O-Si,T-O-T,96
532,Al-O-Si,T-O-T,96
533,Al-O-Si,T-O-T,96
534,Al-O-Si,T-O-T,96
535,Al-O-Si,T-O-T,96
536,Al-O-Si,T-O-T,96
537,Al-O-Si,T-O-T,96
538,Al-O-Si,T-O-T,96
539,Al-O-Si,T-O-T,96
540,Al-O-Si,T-O-T,96
541,Al-O-Si,T-O-T,96
542,Al-O-Si,T-O-T,96
543,Al-O-Si,T-O-T,96
544,Al-O-Si,T-O-T,96
545,Al-O-Si,T-O-T,96
546,Al-O-Si,T-O-T,96
547,Al-O-Si,T-O-T,96
548,Al-O-Si,T-O-T,96
549,Al-O-Si,T-O-T,96
550,Al-O-Si,T-O-T,96
551,Al-O-Si,T-O-T,96
552,Al-O-Si,T-O-T,96
553,Al-O-Si,T-O-T,96
554,Al-O-Si,T-O-T,96
555,Al-O-Si,T-O-T,96
556,Al-O-Si,T-O-T,96
557,Al-O-Si,T-O-T,96
558,Al-O-Si,T-O-T,96
559,Al-O-Si,T-O-T,96
560,Al-O-Si,T-O-T,96
561,Al-O-Si,T-O-T,96
562,Al-O-Si,T-O-T,96
563,Al-O-Si,T-O-T,96
564,Al-O-Si,T-O-T,96
565,Al-O-Si,T-O-T,96
566,Al-O-Si,T-O-T,96
567,Al-O-Si,T-O-T,96
568,Al-O-Si,T-O-T,96
569,Al-O-Si,T-O-T,96
570,Al-O-Si,T-O-T,96
571,Al-O-Si,T-O-T,96
572,Al-O-Si,T-O-T,96
573,Al-O-Si,T-O-T,96
574,Al-O-Si,T-O-T,96
575,Al-O-Si,T-O-T,96
576,Al-O-Si,T-O-T,96
577,Al-O-Si,T-O-T,96
578,Al-O-Si,T-O-T,96
579,Al-O-Si,T-O-T,96
580,Al-O-Si,T-O-T,96
581,Al-O-Si,T-O-T,96
582,Al-O-Si,T-O-T,96
583,Al-O-Si,T-O-T,96
584,Al-O-Si,T-O-T,96
585,Al-O-Si,T-O-T,96
586,Al-O-Si,T-O-T,96
587,Al-O-Si,T-O-T,96
588,Al-O-Si,T-O-T,96
589,Al-O-Si,T-O-T,96
